Name;Price;Sale Price;;;;;;
OVO K3 Rabbit Withe        OVO K3 RABBIT WITHE;47.90;;;;;;;
OVO K4 RABBIT - LIGHTVIOLET ;47.90;;;;;;;
OVO K4 RABBIT - WHITE;47.90;;;;;;;
OVO K5 RABBIT - WHITE;47.90;;;;;;;
PERSIAN ELITE VIBRAATOR + ORGASM BALLS + JUST GLIDE 6ML;36.90;;;;;;;
PERSIAN ELITE VIBRAATOR ;36.90;18;;;;;;
PLOWBOY ROTATING VIBRATOR;46.90;;;;;;;
POSH BOUNDING BUNNY, PINK;52.90;;;;;;;
POWER SLIDE VIBE;49.90;29.90;;;;;;
PRECIOUS GOLD THE ULTIMATE RABBIT;69.90;;;;;;;
PRETTY PAPILLON REMOTE CONTROLLE;80;;;;;;;
RABBIT SENSATION PURPLE EDITION;99.90;;;;;;;
RABBIT SENSATION WHITE EDITION;59.90;;;;;;;
RABBIT VIBE PLUS;44.90;;;;;;;
SEVEN SEAS VIBE - BLUE;55.90;39.90;;;;;;
SMALL RABBIT - PINK;19.90;;;;;;;
SPARKLING CLEAR RABBIT VIBRATOR;39.90;;;;;;;
TWINTURBO DOLPHIN, BLUE;55;;;;;;;
TWINTURBO RABBIT VIBRATOR - PINK;59.90;;;;;;;
ULTRA 7 PLEASURE RABBIT;65.90;;;;;;;
UP&DOWN VIBRATOR, PURPLE;89.90;;;;;;;
Veiny;46.90;;;;;;;
VIBE THERAPY SERENITY VIBR BLUE;59.90;;;;;;;
"VIBRATOR ""THE HAMMER""";99.00;;;;;;;
VIBRATOR CRAZY RABBIT;49.90;;;;;;;
WET N WILD RABBIT VIBE;23.90;;;;;;;
MAHANA DUO VIBE BLACK;60;;;;;;;
MAHANA DUO VIBE PINK;60;;;;;;;
WE VIBE II, PURPLE;90.90;;;;;;;
WE VIBE II, PURPLE;139.90;;;;;;;
WE VIBE II, RUBY;99.90;;;;;;;
WE VIBE II,TEAL;99.90;;;;;;;
WE VIBE III, PURPLE;139;;;;;;;
WE VIBE III, RUBY;139;;;;;;;
WE VIBE III, teal;139;;;;;;;
WE WIBE LOVE FACINATION;99;66;;;;;;
WE WIBE THRILL;159;;;;;;;
WE-VIBE 4 - PURPLE;139;;;;;;;
;;;;;;;;
