name;price;sale;info;size;type;image
CREAMY LVORY RENAISSANCE CORSET TOP BLACK;€24,90;;"Beautifully designed shirred satin bust corset with elegant brocade side zipper and lace up back.  Material: Satin
";M|L|XL|XXL;Corsets;http://s24.postimg.org/w53th38yt/CREAMY_LVORY_RENAISSANCE_CORSET_TOP_BLACK_24_90.jpg
DAMEN JEANS - BLACK;€39,90;;damen jeans - black . Material: 65% Baumwolle, 30% Polyester, 5% Elasthan. ;XS|S|M|L;Corsets;http://s24.postimg.org/i17y8p1r9/DAMEN_JEANS_BLACK39_90.jpg
DENIM CORSAGE;€49,90;€15,90;"Can be combined variously!  Corsage made of blue denim with 4 metal bones on the sides. Hook closure in the front and decorative lacing in the back. 
100% cotton.";S ;Corsets;http://s24.postimg.org/rn1iozsx1/DENIM_CORSAGE_49_90.jpg
ELEGANT BLACK CORSET FRINGED;€35,90;;"Fastened in front with hooks and tied in the back.  Have removable and adjustable shoulder straps.
Color: Black
Material: 65% Polyester, 25% Cotton, 10% Elasthan
";XS|M|L|XL|XXL;Corsets;http://s16.postimg.org/4kqqz25l1/ELEGANT_BLACK_CORSET_FRINGED_35_90.jpg
ELEGANTNE HALL KORSETT;€24,90;;"Elegant grey corset with perfectly molded waist.  Material:
65% Polyester 
25% Cotton 
10% Elastan";XS|M|L|XL|XXL;Corsets;http://s16.postimg.org/6gi4nyjt1/ELEGANTNE_HALL_KORSETT_24_90.jpg
ELEGANTNE PUNANE KORSETT;€76,70;€23,90;"Elegantne korsett . 
Värv: tumepunane
Materjal: 96% polüester, 4% spandeks";S|M|L|XL;Corsets;http://s16.postimg.org/lmo6ew9tx/ELEGANTNE_PUNANE_KORSETT_71_85.jpg
FANTASTIC CORSET;€35,90;;"This fantastic corset is currently a hit in chilirose! Its predacious and sweet for girls, who like originality and feminity.
This brand-new corset possesses all fashion trends!
Red and black colour make a spicy mixture, which will vitalize this somber and autumnal days.
Amazing style causes, that in this corset all woman looks marvelous!
The corset is a perfect solution for every occasion, it matches for elegant dresses and casual trousers.
The corset is made from red and black satin material with a bond in the back.
Package includes:
-corset
-string";S|M|L|XL|XXL ;Corsets;http://s16.postimg.org/kbgf6fe85/FANTASTIC_CORSET_35_90.jpg
FESTIVE RED JACQUARD CORSET S;€45,90;;Festive Red Jacquard Corset of dear-lover features red jacquard print, front exposed zipper and buckles closure, sides with gold chains embellishment and strong cord lace-up back. Nice top to match any of your bottom and special for the coming Valentine of 2013. 90%polyester + 10%spandex;S|M|L|XL|XXL ;Corsets;http://s16.postimg.org/540fm2mdh/FESTIVE_RED_JACQUARD_CORSET_S_45_90.jpg
FRONT ZIP AND BACK TIE CORSET;€39,90;;Front Zip and Back Tie Corset ;S|M|L|XL|XXL ;Corsets;http://s16.postimg.org/abliqj2yt/FRONT_ZIP_AND_BACK_TIE_CORSET_39_90.jpg
GRAZIA CORSET+STRING;€35,90;;"Fantastic Satin Brocade Corset/Bustier with busk closure and boning, laced on the back. Color Satin gold with black lace trimmings. SET INCLUDES:


corset and matching string


Delivered in its original beauty-full bordo glossy Box


Corset with matching G-String";S|L|XL ;Corsets;http://s16.postimg.org/9wa8xih1h/GRAZIA_CORSET_STRING_35_90.jpg
HALTERNECK RIVET SHAPER CORSET;€39,90;;"2PC. Matching g-string included. Finished in Black PVC Fabric, Halterneck Rivet Shaper Corset is bold, strong, and makes a real statement of intent. This simple black PVC corset could be an item of cyberpunk clothing, gothic club wear, or just lingerie for the eyes of just one person. Features:
10 polyester bones throughout
Full metal busk
100% PVC and 100% cotton lining
Improves posture
Heavy lacing at the back
Deep sweetheart cut

Material PVC
Color black";S|M|L|XL;Corsets;http://s16.postimg.org/57u92brut/HALTERNECK_RIVET_SHAPER_CORSET39_90.jpg
IRINA CORSET;€39,90;;"The Irina Corset, features a padded satin silhouette with woven lace trim, fish-net overlay
and bow trimmed garter straps.";S|M|L ;Corsets;http://s16.postimg.org/4wcspkbet/IRINA_CORSET_39_90.jpg
JESSE CORSET;€39,90;;"The Jesse Corset, features a satin silhouette  with flocked micro-dot tulling, deep V-bust-line
and satin bow accent.";S|M|L ;Corsets;http://s16.postimg.org/4306wy5dx/JESSE_CORSET_39_90.jpg
JESSICA CORSET;€35,90;;"Gorgeous Satin Brocade boned Corset with busk closure and boning laced on the back comes with matching G-String color light-blue with light-pink . Deliverd in its original beauty-full glossy Box.
 SET INCLUDES:

corset and string";S|M|XL ;Corsets;http://s16.postimg.org/ahz7tmc3p/JESSICA_CORSET_35_90.jpg
LEOPARDI MUSTRIGA KORSETT ALUSPÜKSTEGA;€43,15;€12,90;Leopardi mustriga korsett aluspükstega . Seksikas komplekt satiin- ja pitskaunistustega. ;M|L ;Corsets;http://s16.postimg.org/j5h0ldfb9/LEOPARDI_MUSTRIGA_KORSETT_ALUSP_KSTEGA_43_15.jpg
LUCIFERIA CORSET AND STRINGS - CHILIROSE;€49,90;;Unique, very sexy Corset, it is a great idea not only to rock party, or a dance night in the Club - with for example a white shirt will create a sharp-sweet blend of sex and class! You decide what you want: erotic, sexy style or everyday elegance! Skirt perfectly adapts to the body, tying intriguing attract the eye and stimulate the imagination ... you can be queen of the night! ;XS|M|L|XL|XXL;Corsets;http://s16.postimg.org/oi5uzi37p/LUCIFERIA_CORSET_AND_STRINGS_CHILIROSE49_90.jpg
LUXURIOUS LEATHER CORSET WITH SKIRT, RED;€49,90;;Luxurious Leather Corset with Skirt . Material : PVC;S|M|L|XL|XXL;Corsets;http://s16.postimg.org/a42h7rhdx/LUXURIOUS_LEATHER_CORSET_WITH_SKIRT_RED_49_90.jpg
LUXURIOUS PTERIS JACQUARD CORSET WHITE;€28,90;€24,90;Limited edition. Made by first-class jacquard fabric with lavish texture and elegant design, Luxurious Pteris Jacquard Corset features a sweetheart neck line, strapless silhouette, back lace-up and front satainless steel opening, belt fasterner buckles embellishement at the waist. Boning and streamlining panels throughout provide a sculpted hourglass figure. Match with complimenting G-string for an unforgettable look. Material : 90% polyester +10%spandex;S|L ;Corsets;http://s16.postimg.org/gj1i4fo3p/LUXURIOUS_PTERIS_JACQUARD_CORSET_BLACK28_90.jpg
LUXURIOUS PTERIS JACQUARD CORSET. - BLACK;€28,90;;Luxurious Pteris Jacquard Corset. ;XL|XXL;Corsets;http://s16.postimg.org/9bzt8kd6t/LUXURIOUS_PTERIS_JACQUARD_CORSET_WHITE_28_90.jpg
MODERN AND COMFY RUBBER CORSET;€49,90;;"A modern version of the corsets of the nobility with the emphasis on comfort, this constructed waist nipper slims and trims to the max for a smooth look through your middle. Color: black
Material: Polyester +Spandex";XS|M|L|XL|XXL;Corsets;http://s16.postimg.org/ti3b7g8ud/MODERN_AND_COMFY_RUBBER_CORSET49_90.jpg
MUSTADE TRIIPUDE PUNANE KORSETT;€181,78;€45,90;"Mustade triipude punane korsett . Pildil olevad sukad ei kuulu komplekti.
Värv: must/punane";M|L ;Corsets;http://s16.postimg.org/tkn6uachx/MUSTADE_TRIIPUDE_PUNANE_KORSETT_181_78.jpg
MUSTRIGA KORSETT KOOS SUKAHOIDJATEGA;€25,90;;"Material : 100% polyester . Color black

Leopard mesh and lycra bustier with underwire cups and neckline panel with halter tie straps. Bustier features elasticized waist, boning, center back hook & eye closure and attached Garters. G-string is included but not for the stockings.";ONE;Corsets;http://s16.postimg.org/z549io0qt/MUSTRIGA_KORSETT_KOOS_SUKAHOIDJATEGA_25_90.jpg
PEPLUM FLARE CORSET;€29,90;;"Corset.   Material: Acrylic + Spandex 
Color: Black";S|M ;Corsets;http://s16.postimg.org/vhjwyv35x/PEPLUM_FLARE_CORSET_29_90.jpg
PINK BURLESQUE CORSET & WHITE PETTICOAT;€49,90;;Burlesque strapless corset with side hook & eye closure, lace-up back and matching thong. Comes with matching petticoat. ;ONE;Corsets;http://s16.postimg.org/z6e7c32kl/PINK_BURLESQUE_CORSET_WHITE_PETTICOAT_49_90.jpg
PINK CORSET;€45,00;;Pink Corset ;XS|S|L ;Corsets;http://s16.postimg.org/pfca8depx/PINK_CORSET45_00.jpg
PLUS SIZE BLACK SHINY BUSTIER;€39,90;;"A matte wet look bustier with garters, it’s durable with great support. It features molded underwire and push up cups with eyelet embellishment, PVC bone, center back hook and eye closure and adjustable straps. Material : 100% Polyester
Color black
Size XXL";XXL ;Corsets;http://s16.postimg.org/w9r6bswqt/PLUS_SIZE_BLACK_SHINY_BUSTIER_39_90.jpg
PLUS SIZE STUNNING CORSET;€29,90;;Stunning Floral Tapestry Strapless Corset with gorgeous Venice trim, hook & eye front, waist cinching lace-up back, removable, adjustable garters. Comes with Thong Panty. Material : Damask;XXL|XXXL;Corsets;http://s16.postimg.org/rz7x2h29x/PLUS_SIZE_STUNNING_CORSET29_90.jpg
PUNK STYLE CORSET TOP BLACK;€29,90;;"As we all known that Punk clothing is quite prevailing among people recently, today I would like to introduce you another Punk wind item of latest fashion for you, Punk Style Corset Top Black. Front Stainless steel Closure
Decorated with gold circles and rivets both front sides
Modest panel
Fine cotton twilling lining 
Strong cord lace-up back
12 double layers plastic bones
Mild sweetheart bust line, no trim
Material : 90%polyester + 10%spandex";S|M|L ;Corsets;http://s16.postimg.org/ldzsggbt1/PUNK_STYLE_CORSET_TOP_BLACK_29_90.jpg
RAVISHING BROCADE EYELET BONED CORSET;€24,90;;"Ladylike and sexy! We love this Ravishing Brocade Eyelet Boned Corset with its elegant sweetheart neckline, slimming boning, convinient side zip and lace up detailing. The leather with eyelet decoration front and beaded flower in center adds you trendy fashion element and feminine charm. Come with the intimate G-string. Material : 90% polyester + 10% spandex
Color black";S|L|XL|XXL;Corsets;http://s1.postimg.org/63urdvj5b/RAVISHING_BROCADE_EYELET_BONED_CORSET_24_90.jpg
RAVISHING CORSET TOP WITH G-STRING;€57,60;€39,90;"Ravishing Corset Top is the perfect centre piece for any burlesque outfit. It is tailored to exacting standards and will reduce your waistline by up to 5"" if desired. Perfect for those nights out where you want to look and feel simply gorgeous. Material : Faux leather
Color black


Features:
Acrylic Bones
Stainless Steel Busk Closure
Ribbon Lacing
Bust line: Sweetheart
Hook & Eye Closure
No Suspender Loops
";S|M|L|XL|XXL;Corsets;http://s1.postimg.org/r20xbyizz/RAVISHING_CORSET_TOP_WITH_G_STRING_57_60.jpg
RED CORSET + STRING;€35,90;€29,90;"Be his own beauty goddess and prove him, that theres no sexiest woman in the world! This exclusive corset will underline all your charms and youll become his dreamed temptress! The corset is made from satin, red material covered with black lace. Package includes:


-corset


-string";S ;Corsets;http://s1.postimg.org/on91rj2r3/RED_CORSET_STRING_35_90.jpg
RED CORSET WITH FLORAL DESIGN;€24,90;;Corset with Floral Design includes corset and g-string.  Material: satin;S ;Corsets;http://s1.postimg.org/gpempvpgv/RED_CORSET_WITH_FLORAL_DESIGN_24_90.jpg
RED WET LOOK CORSET-DRESS;€28,90;;"Fabulously glossy PVC corset dress with front hook fastening.  Material: Polyester, spandex, nylon
Color: Red";ONE;Corsets;http://s1.postimg.org/tn6hzh8dr/RED_WET_LOOK_CORSET_DRESS_28_90.jpg
RED-BLACK CORSET;€29,90;;Sexy red-black PVC / latex corset.  Adjustable and curve emphasizing corset.;ONE;Corsets;http://s1.postimg.org/96vhh8y3z/RED_BLACK_CORSET_29_90.jpg
RED-BLACK LACE CORSET;€24,90;;Flirty and Fun! Adorable strapless boned corset featuring flirty ruffles and bow accents.  Material:  Acrylic+ Lace ;S|M|L|XL;Corsets;http://s1.postimg.org/tcyzg4trj/RED_BLACK_LACE_CORSET_24_90.jpg
RHINESTONE EMBELLISHMENT BROCADE CORSET BLACK;€39,90;;"Lift-up and body-shaping. Sexy sweetheart bandeau with sparkling rhinestone applique bust line and ruffled lace trim. Front Stainless steel closure and adjustable strong cord lacing back. 14 double layer plastic bones.Color black
Material: 90% polyester, 10% spandex";S|L|XL|XXL;Corsets;http://s1.postimg.org/cnxjk7x67/RHINESTONE_EMBELLISHMENT_BROCADE_CORSET_BLACK_39.jpg
SATIN BROCADE CORSET + STRING;€35,90;;"Gorgeous Satin Brocade Corset/Bustier with busk closure and boning laced on, color creme satin. SET INCLUDES


corset and sexy string
";S|M|L ;Corsets;http://s23.postimg.org/4z8um4qxn/SATIN_BROCADE_CORSET_STRING_35_90.jpg
SATIN CORSET PURPLE;€39,90;;Satin Corset Purple ;S|M|L ;Corsets;http://s23.postimg.org/mdt2ueo2j/SATIN_CORSET_PURPLE_39_90.jpg
SATIN FLORAL LACE CORSET;€29,90;;Satin floral lace corset with G-string. Fabricated by the premium satin with charming floral pattern all over the bodice. The build-in bonings accenting your advantages to show you a capativating S shape. You can wear it in bedroom for seduction or as the underneath below your evening dress. Material: Damask;S|M|L|XL|XXL;Corsets;http://s23.postimg.org/x85xilhsr/SATIN_FLORAL_LACE_CORSET_29_90.jpg
SATIN UNDERWIRE BUSTIER WITH THONG;€19,90;;Satin underwire bustier with sheer side panels and gathered hem. Tiny bow details and adjustable shoulder and garter straps. Matching thong.Material : Acrylic+ Spandex ;ONE;Corsets;http://s23.postimg.org/nu4lcjqzf/SATIN_UNDERWIRE_BUSTIER_WITH_THONG19_90.jpg
