HIGH WAIST SNAKE TEXTURE METALLIC LEGGING GOLD;€14,90;;High Waist Snake Texture Metallic Legging is sexy wild and stretchy durable to wear . Material: 100% polyester;ONE;Leggins;http://s30.postimg.org/aew523xm9/HIGH_WAIST_SNAKE_TEXTURE_METALLIC_LEGGING_GOLD_1.jpg
JEANS LOOK JEGGINGS;€14,90;€9,90;Jeans Look Jeggings. One size. ;ONE;Leggins;http://s30.postimg.org/m7ty6bu29/JEANS_LOOK_JEGGINGS_14_90.jpg
JEANS LOOK LEGGINGS, BLUE;€9,90;;Jeans Look Leggings.  ;S-L;Leggins;http://s30.postimg.org/a8ifz0ohd/JEANS_LOOK_LEGGINGS_BLUE_9_90.jpg
LEATHER LEGGING WITH POCKETS BACK;€19,90;;Flattering made by the curves of your hip and legs, Leather Legging with Pockets Back is sexy, stylish and custom fit to wear. Stands out by its spliced color front and classy design. Matching it with fashion top and boots to get a fabulous trendy out-going look for day and night.;ONE;Leggins;http://s30.postimg.org/8blpufxtd/LEATHER_LEGGING_WITH_POCKETS_BACK_19_90.jpg
"LEGGING ""BROWN""";€14,90;;High Waist Snake Texture Metallic Legging is sexy wild and stretchy durable to wear.  Material: 100% polyester;ONE;Leggins;http://s30.postimg.org/9rx8cl0q9/LEGGING_BROWN_14_90.jpg
"LEGGING ""GRAY""";€14,90;;High Waist Snake Texture Metallic Legging is sexy wild and stretchy durable to wear.  Materjal: 100% polyester;ONE;Leggins;http://s30.postimg.org/7pwqyc2r5/LEGGING_GRAY_14_90.jpg
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
LEOPARD LEGGINS S/M;€19,90;;Leopard Leggins S/M 90% Polyester, 10% Spandex ;S/M ;Leggins;http://s30.postimg.org/q8fc765m9/LEOPARD_LEGGINS_S_M_19_90.jpg
METALLIC BLACK FASHION LIQUID LEGGINGS;€29,90;;Stretch tight imitation leather pants. One size. ;ONE;Leggins;http://s30.postimg.org/gce97izu9/METALLIC_BLACK_FASHION_LIQUID_LEGGINGS_29_90.jpg
