name;price;sale price;image;Category
COLLAR WITH BREAST HARNESS, BLACK;49.90.jpg;;http://s14.postimg.org/lbr2vhokh/COLLAR_WITH_BREAST_HARNESS_BLACK_49_90.jpg;BDSM Collars
COLLAR WITH CUFFS;39.90.jpg;;http://s14.postimg.org/66uyxz0dd/COLLAR_WITH_CUFFS_39_90.jpg;BDSM Collars
COLLAR WITH CUFFS, BLACK;59.90.jpg;;http://s14.postimg.org/tmcw3bk4h/COLLAR_WITH_CUFFS_BLACK_59_90.jpg;BDSM Collars
COLLAR WITH CUFFS. BLACK;49.90.jpg;;http://s14.postimg.org/fv8f13v6p/COLLAR_WITH_CUFFS_BLACK_49_90.jpg;BDSM Collars
COLLAR WITH DECORATION;27.90.jpg;;http://s14.postimg.org/59ojp3ov5/COLLAR_WITH_DECORATION_27_90.jpg;BDSM Collars
COLLAR WITH HAND-HARNESS, BLACK;89.90.jpg;;http://s14.postimg.org/gajou4h41/COLLAR_WITH_HAND_HARNESS_BLACK_89_90.jpg;BDSM Collars
PINK WIDE COLLAR WITH LEASH;19.90.jpg;;http://s14.postimg.org/4a2u74z35/PINK_WIDE_COLLAR_WITH_LEASH_19_90.jpg;BDSM Collars
RED COLLAR WITH LEASH;39.90.jpg;;http://s14.postimg.org/4pe405l0h/RED_COLLAR_WITH_LEASH_39_90.jpg;BDSM Collars
RIVET COLLAR;34.90.jpg;;http://s14.postimg.org/m1eglleht/RIVET_COLLAR_34_90.jpg;BDSM Collars
SHOCK DELIGHT COLLAR;22.50.jpg;;http://s14.postimg.org/au5mdhd41/SHOCK_DELIGHT_COLLAR_22_50.jpg;BDSM Collars
STUDDED WHITE SUBMISSIVE HIGH NURSE COLLAR;24.90.jpg;;http://s14.postimg.org/t8g5hgpep/STUDDED_WHITE_SUBMISSIVE_HIGH_NURSE_COLLAR_24_90.jpg;BDSM Collars
TALL CURVED POSTURE COLLAR;29.90.jpg;;http://s14.postimg.org/jzdz7cgip/TALL_CURVED_POSTURE_COLLAR_29_90.jpg;BDSM Collars
WIDE COLLAR WITH LEASH;39.90.jpg;;http://s14.postimg.org/zd7nushi9/WIDE_COLLAR_BLACK_39_90.jpg;BDSM Collars
WIDE COLLAR, BLACK;39.90.jpg;;http://s14.postimg.org/93mlbzvkx/WIDE_COLLAR_WITH_LEASH_39_90.jpg;BDSM Collars
X-PLAY BITCH COLLAR;15.90.jpg;;http://s14.postimg.org/osxqc7d0h/X_PLAY_BITCH_COLLAR_15_90.jpg;BDSM Collars
ZADO-LEATHER STUDDED COLLA;36.90.jpg;;http://s14.postimg.org/xmomtazz5/ZADO_LEATHER_STUDDED_COLLA_36_90.jpg;BDSM Collars
"""HANDS TOGETHER"" RESTRAINT SET";25.90.jpg;;http://s21.postimg.org/k0lakutjb/HANDS_TOGETHER_RESTRAINT_SET_25_90.jpg;BDSM Cuffs
ADJUSTABLE ANKLE SPREADERS;69.jpg;;http://s21.postimg.org/ou51ppq13/ADJUSTABLE_ANKLE_SPREADERS_69.jpg;BDSM Cuffs
ANKLE CUFFS; 29.90.jpg;;http://s21.postimg.org/5svlw7guf/ANKLE_CUFFS_29_90.jpg;BDSM Cuffs
ANODIZED CUFFS RED;13.90.jpg;;http://s21.postimg.org/k1v8e9vd3/ANODIZED_CUFFS_RED_13_90.jpg;BDSM Cuffs
ARM AND LEG SHACKLES PINK 21.90.jpg;21.90.jpg;;http://s21.postimg.org/e9v474ljb/ARM_AND_LEG_SHACKLES_PINK_21_90.jpg;BDSM Cuffs
BK HAND/THIGH CUFFS;19.90.jpg;;http://s21.postimg.org/yfym60h6v/BK_HAND_THIGH_CUFFS_19_90.jpg;BDSM Cuffs
BLACK ANKLE CUFFS; 25.90.jpg;;http://s21.postimg.org/m8zh270nb/BLACK_ANKLE_CUFFS_25_90.jpg;BDSM Cuffs
BLING BLING CUFFS BLACK;19.90.jpg;;http://s21.postimg.org/7br016nev/BLING_BLING_CUFFS_BLACK_19_90.jpg;BDSM Cuffs
BLING BLING CUFFS PINK ;19.90.jpg;;http://s21.postimg.org/t0pw51pmv/BLING_BLING_CUFFS_PINK_19_90.jpg;BDSM Cuffs
BONDAGE SET 2;69.90.jpg;;http://s21.postimg.org/gnd1y4zyf/BONDAGE_SET_2_69_90.jpg;BDSM Cuffs
BONDX METAL CUFFS&LOVE ROPE SET-RED;21.90.jpg;;http://s21.postimg.org/4a4t4yznr/BONDX_METAL_CUFFS_LOVE_ROPE_SET_RED_21_90.jpg;BDSM Cuffs
CHROME HAND CUFFS;15.90.jpg;;http://s21.postimg.org/nyd5o05qf/CHROME_HAND_CUFFS_15_90.jpg;BDSM Cuffs
COLLAR AND CUFS BLACK CHAIN;69.90.jpg;;http://s21.postimg.org/65rlg4ohz/COLLAR_AND_CUFS_BLACK_CHAIN_69_90.jpg;BDSM Cuffs
COLLAR AND CUFS CHAIN, BLACK;79.90.jpg;;http://s21.postimg.org/k9ngoivpj/COLLAR_AND_CUFS_CHAIN_BLACK_79_90.jpg;BDSM Cuffs
COLLAR WITH CUFFS;39.90.jpg;;http://s21.postimg.org/7yui4g9on/COLLAR_WITH_CUFFS_39_90.jpg;BDSM Cuffs
COLLAR WITH CUFFS. BLACK;49.90.jpg;;http://s21.postimg.org/c5fcjs9af/COLLAR_WITH_CUFFS_BLACK_49_90.jpg;BDSM Cuffs
COMPLETE LEATHER BONDAGE SET; 159.90.jpg;;http://s21.postimg.org/4x3puhwjr/COMPLETE_LEATHER_BONDAGE_SET_159_90.jpg;BDSM Cuffs
DESIGNER CUFFS, BLACK;11.90.jpg;;http://s21.postimg.org/fvezcol53/DESIGNER_CUFFS_BLACK_11_90.jpg;BDSM Cuffs
DESIGNER CUFFS, PINK;9.50.jpg;;http://s21.postimg.org/7omzl3v2f/DESIGNER_CUFFS_PINK_9_50.jpg;BDSM Cuffs
DESIGNER CUFFS, PURPLE;9.50.jpg;;http://s21.postimg.org/xb95edk3r/DESIGNER_CUFFS_PURPLE_9_50.jpg;BDSM Cuffs
ED FAUX FUR AND LEATHER ANKLE CUFF;14.90.jpg;;http://s21.postimg.org/rohdun6yv/ED_FAUX_FUR_AND_LEATHER_ANKLE_CUFF_14_90.jpg;BDSM Cuffs
EXTREME RESTRAINT;59.95.jpg;;http://s21.postimg.org/d9429hjbb/EXTREME_RESTRAINT_59_95.jpg;BDSM Cuffs
